term,category,definition,related,source,keywords
CMP,반도체 공정,"웨이퍼 표면을 평탄화하기 위해 화학적 반응과 기계적 연마를 동시에 사용하는 공정.","평탄화;CVD;식각","반도체 제조 공정 개론","CMP Chemical Mechanical Polishing 평탄화 연마"
CVD,반도체 공정,"기체 상태의 선구물질을 기판 표면에서 화학반응시켜 박막을 형성하는 공정.","ALD;PVD;증착","KS B XXXX","CVD Chemical Vapor Deposition 증착 박막"
ALD,반도체 공정,"기판에 화학전구체를 순차적으로 공급하여 원자층 단위로 박막을 형성하는 증착 공정.","CVD;증착","반도체 재료공학","ALD Atomic Layer Deposition 증착 박막"
Etching,반도체 공정,"웨이퍼 표면의 특정 영역을 선택적으로 제거하여 패턴을 형성하는 공정.","Dry Etch;Wet Etch","반도체 공정 기본","식각 Dry Etch Wet Etch 패턴"
Dry Etching,반도체 공정,"플라즈마 또는 이온을 이용해 재료를 제거하는 식각 공정.","RIE;ICP","KS B XXXX","Dry Etching 플라즈마 식각"
Wet Etching,반도체 공정,"화학용액을 사용하여 재료를 제거하는 습식 식각 공정.","HF;세정","반도체 공정","Wet Etching 습식식각 화학용액"
RIE,반도체 공정,"이온 충돌과 화학반응을 동시에 이용해 식각하는 공정.","ICP;Dry Etch","플라즈마 공학","RIE Reactive Ion Etching 플라즈마"
ICP,반도체 공정,"고밀도 플라즈마를 통해 고종횡비 식각을 가능하게 하는 기술.","RIE;Dry Etch","ICP 기술자료","ICP Inductively Coupled Plasma 플라즈마"
PR Coating,반도체 공정,"웨이퍼에 포토레지스트를 균일하게 도포하는 공정.","Spin Coating;PR Bake","포토공정","PR 포토레지스트 Spin Coating"
Lithography,반도체 공정,"포토레지스트에 빛을 노광해 패턴을 형성하는 공정.","DUV;EUV","노광 공정","Lithography 노광 EUV DUV"
EUV,반도체 공정,"13.5nm 극자외선을 사용하여 미세패턴을 형성하는 노광 공정.","Lithography","EUV 백서","EUV Extreme Ultraviolet Lithography"
DUV,반도체 공정,"248nm 또는 193nm 심자외선을 사용하는 노광 공정.","Lithography","광학공정","DUV Deep UV Lithography"
Baking,반도체 공정,"PR 도포 후 용매 증발 또는 패턴 안정화를 위한 열처리 공정.","PR Coating","포토공정","Soft Bake Hard Bake PR"
Diffusion,반도체 공정,"고온에서 불순물이 실리콘 내부로 확산되는 공정.","Ion Implantation","반도체 재료","확산 Diffusion 도핑"
Ion Implantation,반도체 공정,"이온화된 불순물을 고에너지로 웨이퍼에 주입하는 공정.","Diffusion","반도체 소자","이온주입 Ion Implantation 도핑"
Annealing,반도체 공정,"열처리를 통해 결함 회복 및 도핑 활성화를 수행하는 공정.","Diffusion;Implantation","반도체 공정","어닐링 Annealing 열처리"
Sputtering,PVD 공정,"타겟 금속을 이온으로 때려 박막을 증착하는 물리적 증착 공정.","PVD;CVD","박막기술","Sputter PVD 박막"
Evaporation,PVD 공정,"물질을 증발시키고 기판에 응결시켜 박막을 형성하는 공정.","PVD;Sputtering","PVD 기술","Evaporation 금속 증발 박막"
PVD,박막 공정,"물리적 원리로 박막을 증착하는 공정.","Sputtering;Evaporation","박막기술","PVD Physical Vapor Deposition 박막"
Dicing,반도체 후공정,"웨이퍼를 칩 단위 크기로 절단하는 공정.","Sawing;Package","후공정 기술","Dicing 웨이퍼 절단 Saw"
Wire Bonding,반도체 후공정,"칩과 패키지를 금선/동선으로 연결하는 공정.","Package;Bonder","후공정 기술","와이어 본딩 Wire Bond"
